"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","51848","PD-44_CXT-2295_Search Box Brands ""ipho""","","Mon Aug 25 09:26:13 TRT 2025","failed","Mon Aug 25 09:27:05 TRT 2025","","PD-44_CXT-2295_Search Box Brands <data>","",""
"","47790","CU_CXT-155_Set Default Address","","Mon Aug 25 09:47:44 TRT 2025","passed","Mon Aug 25 09:48:32 TRT 2025","","CU_CXT-155_Set Default Address","",""
"","30936","PD-8_CXT-2281_Product Delivery And Return Conditions","","Mon Aug 25 10:02:57 TRT 2025","passed","Mon Aug 25 10:03:28 TRT 2025","","PD-8_CXT-2281_Product Delivery And Return Conditions","",""
"","30317","PD-45_CXT-2296_Search Box Categories ""UTU""","","Mon Aug 25 09:26:04 TRT 2025","failed","Mon Aug 25 09:26:34 TRT 2025","","PD-45_CXT-2296_Search Box Categories <data>","",""
"","22407","CU_CXT-142_Register Fields Control ""İkinci Soyad Sonunda Boşluk""","","Mon Aug 25 09:22:16 TRT 2025","passed","Mon Aug 25 09:22:38 TRT 2025","","CU_CXT-142_Register Fields Control <data>","",""
"","32257","PD-23_CXT-181_All Products Menu Outlet PDP Control ""Telefon""","","Mon Aug 25 09:30:56 TRT 2025","passed","Mon Aug 25 09:31:28 TRT 2025","","PD-23_CXT-181_All Products Menu Outlet PDP Control <data>","",""
"","58631","CU_CXT-152_Add Address Corporate","","Mon Aug 25 09:47:28 TRT 2025","passed","Mon Aug 25 09:48:26 TRT 2025","","CU_CXT-152_Add Address Corporate","",""
"","43420","CU_CXT-150_Account Update Password Control ""Yeni Şifre Boş Kontrol""","","Mon Aug 25 09:44:26 TRT 2025","passed","Mon Aug 25 09:45:09 TRT 2025","","CU_CXT-150_Account Update Password Control <data>","",""
"","41783","AAA-Setup User Cookies","","Mon Aug 25 09:19:50 TRT 2025","passed","Mon Aug 25 09:20:32 TRT 2025","","AAA-Setup User Cookies","",""
"","25308","PD-61_CXT-2660_PDProduct Listing Page Titles & Facet Control","","Mon Aug 25 09:28:09 TRT 2025","passed","Mon Aug 25 09:28:35 TRT 2025","","PD-61_CXT-2660_PDProduct Listing Page Titles & Facet Control","",""
